source_file,source_sheet,dataset,model,R2,RMSE,MAE,Pearson,Spearman,EF@1%,EF@5%,EF@10%,ECE,AUPR
internal-external-ablation-results.xlsx,Davis数据集,Davis,GraphDTA GAT_GCN,0.3998,0.6615,0.4376,0.4206,0.6378,0.4276,0.735,4.93,0.1155,0.6081
internal-external-ablation-results.xlsx,Davis数据集,Davis,GraphDTA GCNNet,0.366,0.6799,0.4622,0.4402,0.614,0.4315,0.7375,4.93,0.1077,0.5843
internal-external-ablation-results.xlsx,Davis数据集,Davis,GraphDTA GATNet,0.3667,0.6795,0.4617,0.4124,0.6218,0.469,0.7574,4.93,0.1205,0.601
internal-external-ablation-results.xlsx,Davis数据集,Davis,GraphDTA GINConnvNet,0.2146,0.7567,0.4833,0.5742,0.4358,4.34,3.8,3.3,0.2882,0.5561
internal-external-ablation-results.xlsx,BingdingBD数据集,BindingDB,MLP（Morgan + 理化描述符 + ESM2）,0.222,1.0372,0.7985,0.5128,0.4816,3.89,3.37,3.11,0.0255,0.4635
internal-external-ablation-results.xlsx,BingdingBD数据集,BindingDB,Transformer(仅mse）,0.1465,1.0864,0.8134,0.5361,0.5083,4.309,3.7117,3.2832,0.4018,0.5019
internal-external-ablation-results.xlsx,BingdingBD数据集,BindingDB,Transformer（Morgan + 理化描述符 + ESM2）,0.1838,1.0624,0.7688,0.565,0.5297,4.68,4.13,3.7,0.3985,0.5603
internal-external-ablation-results.xlsx,BingdingBD数据集,BindingDB,Reptile+Transformer（Morgan + 理化描述符 + ESM2）,0.2335,1.0052,0.7917,0.4918,0.4717,1.85,1.99,1.78,0.0126,0.3355
internal-external-ablation-results.xlsx,BingdingBD数据集,BindingDB,GraphDTA GAT_GCN,0.0995,1.2318,0.9586,0.3653,0.3572,3.02,2.68,2.44,0.1826,0.3955
internal-external-ablation-results.xlsx,BingdingBD数据集,BindingDB,GraphDTA GCNNet,0.0519,1.2639,0.9817,0.2942,0.2652,3.37,2.84,2.17,0.2004,0.3612
internal-external-ablation-results.xlsx,BingdingBD数据集,BindingDB,GraphDTA GATNet,0.0891,1.2388,0.9158,0.3497,0.3555,2.46,2.71,1.91,0.2523,0.3725
internal-external-ablation-results.xlsx,BingdingBD数据集,BindingDB,GraphDTA GINConnvNet,0.0677,1.2533,0.99,0.3325,0.3471,3.45,2.5,2.15,0.1839,0.3584
internal-external-ablation-results.xlsx,KIBA数据集,KIBA,MLP（Morgan + 理化描述符 + ESM2）,0.2565,1.014,0.7781,0.5329,0.5038,3.75,3.57,3.11,0.0227,0.4821
internal-external-ablation-results.xlsx,KIBA数据集,KIBA,Transformer(仅mse）,0.1228,1.1014,0.7877,0.5693,0.5355,4.9039,4.1327,3.582,0.4511,0.5601
internal-external-ablation-results.xlsx,KIBA数据集,KIBA,Transformer（Morgan + 理化描述符 + ESM2）,0.2308,0.7418,0.4925,0.5339,0.495,4.05,3.66,3.22,0.1581,0.5
internal-external-ablation-results.xlsx,KIBA数据集,KIBA,Reptile+Transformer（Morgan + 理化描述符 + ESM2）,0.3222,0.6963,0.4665,0.5738,0.506,4.72,4.17,3.58,0.0045,0.6635
internal-external-ablation-results.xlsx,KIBA数据集,KIBA,GraphDTA GAT_GCN,0.2233,0.724,0.5124,0.4886,0.3716,4.49,3.3,2.83,0.0645,0.4602
internal-external-ablation-results.xlsx,KIBA数据集,KIBA,GraphDTA GCNNet,0.2122,0.7291,0.5254,0.5036,0.408,4.28,3.59,3.13,0.0462,0.5162
internal-external-ablation-results.xlsx,KIBA数据集,KIBA,GraphDTA GATNet,-0.1038,0.863,0.6055,0.2624,0.1208,3.88,3.0,2.42,0.3256,0.3991
internal-external-ablation-results.xlsx,KIBA数据集,KIBA,GraphDTA GINConnvNet,0.1203,0.7705,0.57,0.4077,0.2662,4.37,3.38,2.72,0.1065,0.442
model-performance-results.xlsx,ChEMBL数据集,ChEMBL,MLP（Morgan + 理化描述符 + ESM2）,0.1806,1.0645,0.7541,0.5764,0.5432,4.63,4.07,3.74,0.0481,0.558
model-performance-results.xlsx,ChEMBL数据集,ChEMBL,Transformer（Morgan + 理化描述符 + ESM2）,0.1679,1.0727,0.7853,0.5697,0.5395,4.44,3.8,3.48,0.4212,0.5303
model-performance-results.xlsx,ChEMBL数据集,ChEMBL,GraphDTA GAT_GCN,0.0579,1.1373,0.9173,0.3186,0.3027,2.11,1.65,1.51,0.2018,0.2833
model-performance-results.xlsx,ChEMBL数据集,ChEMBL,GraphDTA GCNNet,0.0447,1.1452,0.9204,0.3459,0.3316,2.41,1.97,1.79,0.2748,0.3091
model-performance-results.xlsx,ChEMBL数据集,ChEMBL,GraphDTA GATNet,-0.1528,1.2581,1.008,0.1707,0.1475,1.59,1.42,1.22,0.4662,0.2318
model-performance-results.xlsx,ChEMBL数据集,ChEMBL,GraphDTA GINConnvNet,-0.0913,1.224,0.9851,0.3384,0.3185,2.84,2.25,2.1,0.5119,0.3403
model-performance-results.xlsx,Davis数据集,Davis,MLP（Morgan + 理化描述符 + ESM2）,0.1713,1.0705,0.8109,0.5161,0.4863,4.2,3.51,3.18,0.0425,0.4826
model-performance-results.xlsx,Davis数据集,Davis,Transformer（Morgan + 理化描述符 + ESM2）,0.1713,1.0705,0.8109,0.5161,0.4863,4.2,3.51,3.18,0.0425,0.4826
model-performance-results.xlsx,Davis数据集,Davis,GraphDTA GAT_GCN,0.3998,0.6615,0.4376,0.4206,0.6378,0.4276,0.735,4.93,0.1155,0.6081
model-performance-results.xlsx,Davis数据集,Davis,GraphDTA GCNNet,0.366,0.6799,0.4622,0.4402,0.614,0.4315,0.7375,4.93,0.1077,0.5843
